の
に
て
は
だ
を
た
為る
する
が
と
で
も
居る
いる
ます
有る
ある
です
言う
いう
事
こと
ない
れる
成る
なる
一
いち
無い
から
か
二
其の
その
様
よう
三
さん
十
じゅう
ず
此の
この
物
もの
的
てき
其れ
それ
御
お
や
年
ねん
来る
くる
五
ご
ば
思う
おもう
見る
みる
行く
いく
四
よん
出来る
できる
此れ
これ
良い
よい
者
しゃ
私
わたくし
など
ね
られる
よ
因る
よる
何
なに
まで
時
とき
六
ろく
二十
にじゅう
人
ひと
為
ため
月
がつ
八
はち
へ
てる
第
だい
そう
七
なな
九
きゅう
だけ
日本
にっぽん
達
たち
たい
どう
中
なか
せる
又
また
つく
千
せん
自分
じぶん
所
ところ
三十
さんじゅう
零
れい
って
考える
かんがえる
仕舞う
しまう
つ
けれど
方
ほう
場合
ばあい
な
今
いま
持つ
もつ
彼
かれ
遣る
やる
等
とう
分かる
わかる
日
にち
おる
於く
おく
五十
ごじゅう
出る
でる
前
まえ
行う
おこなう
取る
とる
たり
ら
円
えん
万
まん
性
せい
九百
きゅうひゃく
訳
わけ
ながら
じ
さ
百
ひゃく
下さる
くださる
然し
しかし
問題
もんだい
必要
ひつよう
対する
たいする
使う
つかう
より
にん
化
時間
じかん
聞く
きく
四十
よんじゅう
呉れる
くれる
じん
知る
しる
し
後
あと
パーセント
そして
もう
会
かい
置く
子供
こども
ひ
こう
入る
はいる
気
き
かた
作る
つくる
関係
かんけい
此処
ここ
多い
おおい
御座る
ござる
其処
そこ
六十
ろくじゅう
目
め
九十
きゅうじゅう
度
ど
ほど
くらい
上
うえ
市
八十
はちじゅう
出す
だす
及び
および
社会
しゃかい
話
はなし
貴方
あなた
僕
ぼく
手
以上
いじょう
事業
じぎょう
歳
さい
内
うち
わたし
皆
みな
七十
ななじゅう
付ける
つける
べし
付く
世界
せかい
他
ほか
点
てん
受ける
うける
人間
にんげん
二千
にせん
次
つぎ
良く
よく
生活
せいかつ
法
同じ
おなじ
書く
かく
貰う
もらう
会社
かいしゃ
何時
いつ
高い
たかい
得る
える
掛ける
かける
条
じょう
そんな
ちゅう
男
おとこ
研究
けんきゅう
地域
ちいき
顔
かお
大
情報
じょうほう
意味
いみ
回
彼女
かのじょ
知れる
しれる
侭
まま
図
言葉
ことば
入れる
いれる
国
くに
関する
かんする
県
けん
学校
がっこう
間
あいだ
上げる
あげる
り
しょ
仕事
しごと
大きい
おおきい
一人
ひとり
企業
きぎょう
誰
だれ
可能
かのう
分
ふん
二百
にひゃく
何処
どこ
見える
みえる
委員
いいん
頂く
いただく
時代
じだい
利用
りよう
少し
すこし
今日
きょう
本当
ほんとう
さま
彼の
あの
二人
ふたり
掛かる
かかる
全て
すべて
声
こえ
現在
げんざい
不
ふ
家
いえ
方法
ほうほう
経済
けいざい
未だ
まだ
別
べつ
女性
じょせい
矢張り
やはり
食べる
たべる
教える
おしえる
頃
ころ
通り
とおり
共
とも
心
こころ
年度
ねんど
活動
かつどう
違う
ちがう
なん
しか
始める
はじめる
わ
環境
かんきょう
大きな
おおきな
部
ぶ
俺
おれ
トウキョウ
一寸
ちょっと
先
さき
子
こ
電話
でんわ
結果
けっか
調査
ちょうさ
変わる
かわる
過ぎる
すぎる
ちゃん
君
くん
相手
あいて
呼ぶ
よぶ
感ずる
かんずる
状況
じょうきょう
強い
つよい
アメリカ
力
りょく
女
